,E,S,G
0,온실가스,지원,이사회
1,에너지,고객,사외이사
2,사용,운영,임직원
3,제품,임직원,운영
4,개발,제공,관련
5,친환경,서비스,구성
6,환경,실시,회사
7,배출량,활동,윤리경영
8,관리,교육,실시
9,노력,프로그램,이사
10,자동차,노력,이해관계자
11,발생,대상,강화
12,배출,강화,리스크
13,활동,협력사,경영
14,감축,기업,기업
15,현대자동차,다양한,활동
16,적용,협력회사,이해관계
17,사업장,지속적,노력
18,저감,관리,수행
19,대비,글로벌,삼성전자
20,지속적,진행,업무
21,전자,현대자동차,투명
22,재활용,삼성전자,관리
23,기술,구축,주요
24,운영,확대,그룹
25,구축,지역,주주
26,삼성전자,참여,실천
27,시스템,직원,교육
28,국내,개발,사항
29,확대,전자,위원회
30,대응,향상,전자
31,추진,관련,주주총회
32,폐기물,사회적,의견
33,기후변화,개선,경우
34,사용량,다양,기준
35,목표,시스템,대상
36,개선,추진,경영진
37,생산,사회공헌,평가
38,기업,성장,지배구조
39,기준,업무,구축
40,글로벌,지역사회,정보
41,인증,사업,개최
42,관련,국내,제공
43,실시,사회,이슈
44,영향,임직원들,규정
45,도입,금융,독립성
46,규제,품질,감사위원회
47,계획,역량,이해관계자들
48,강화,활용,지속적
49,감소,기술,조직
50,향상,대한항공,원칙
51,사업,기회,점검
52,절감,시행,투명성
53,차량,회사,중요
54,항공기,발생,의사결정
55,기아자동차,사업장,결정
56,참여,문화,준수
57,증가,정보,반영
58,기존,제품,공정거래
59,경우,환경,고객
60,효율,조성,발생
61,엔진,중소기업,법규
62,하이브리드,해외,정도경영
63,연비,과정,필요
64,자원,보호,다양
65,연료,기아자동차,참여
66,대한항공,평가,포함
67,시행,확보,다양한
68,환경경영,경쟁력,위반
69,과정,가치,제정
70,수립,필요,금융그룹
71,세계,소통,내부통제
72,지원,구성,지속가능경영
73,진행,결과,내부
74,활용,실천,결과
75,달성,창출,윤리적
76,이상,우수,사전
77,대상,제도,글로벌
78,설비,기반,대응
79,설치,수행,준법경영
80,제공,예방,내용
81,물질,직원들,감사
82,처리,바탕,공개
83,고효율,계획,준법
84,다양한,선정,채널
85,예정,마련,협력사
86,미국,발전,행위
87,결과,기준,윤리강령
88,최초,인재,가치
89,수준,사용,하나금융그룹
90,유해물질,개최,커뮤니케이션
91,출시,세계,윤리
92,임직원,수준,시스템
93,이용,주요,추진
94,단계,건강,법률
95,녹색경영,조직,사회적
96,지역,금융그룹,프로그램
97,실천,장애,선임
98,평가,경우,지원
99,공장,육성,소통
